Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.033984	1.112872	99.596000	75.070000	
0.001000	0.034049	1.114980	99.614000	75.200000	
0.001000	0.033112	1.113787	99.642000	75.330000	
0.001000	0.033647	1.115351	99.586000	75.410000	
0.001000	0.032470	1.113308	99.628000	75.420000	
0.001000	0.033962	1.119035	99.584000	75.350000	
0.001000	0.032332	1.111411	99.606000	75.200000	
0.001000	0.033461	1.115319	99.606000	75.340000	
0.001000	0.033093	1.111756	99.624000	75.350000	
0.001000	0.033129	1.113585	99.612000	75.180000	
0.001000	0.031859	1.116836	99.666000	75.290000	
0.001000	0.032737	1.121819	99.608000	75.420000	
0.001000	0.032511	1.115766	99.590000	75.220000	
0.001000	0.032473	1.117314	99.644000	75.130000	
0.001000	0.032603	1.122249	99.612000	75.160000	
0.001000	0.032135	1.117480	99.640000	75.060000	
